mans,rus,note
ё̄рмуӈкве,усилиться,
ё̄рн,ненец,
ё̄рн ма̄хум,ненцы,ненецкий народ
ё̄рнва̄й,пимы,
ё̄рнва̄й,кисы,ненецкие
ё̄рнкол,чум,
ё̄рыл,насильно,
ёралахтуӈкве,гордиться,
ёргуӈкве,строгать,
ёрувла̄лыглаӈкве,забывать,
ёрувлатта̄л,незабываемый,
ёрувлаӈкве,забыть,
ёрыӈ,гордый,
ёрыӈысь,гордо,
ёса лё̄х,лыжня,
ёсаг,лыжи-подволоки,
ёслуӈкве,мочить,
ёсуӈкве,мокнуть,
ёсым,мокрый,
ёсым,промокший,
ёт-а̄лмаяӈкве,захватить,
ёт-ва̄нттуӈкве,увести,с собой
ёт-виӈкве,взять,с собой
ёт-квалыгла̄луӈкве,провожать,
ёт-тотуӈкве,унести,с собой
ёт-тотыглаӈкве,брать с собой,
ёт-харттуӈкве,утащить,
ёт-харттуӈкве,унести с собой,
ётлопся,скребок для выделки камуса,
ётыл,после,
ётыл,потом,
